model_key,model_label,route,ep,run_kind,device,global_experts,local_experts,top_k,hidden,intermediate,global_tokens_value,local_tokens_value,case,case_label,status,total_ms,speed_vs_sonic,total_valid_tflops,max_deepseek_calc_diff,gpu_memory_peak_gb,output_dir,source_results_json,error_log_path,error_tail
qwen3_30b,Qwen3-30B-A3B,balanced,8,sonic_custom,2,128,16,8,2048,768,32768,32768,sonic_bf16,Sonic BF16,ok,8.569004166666666,1.0,288.7034612632643,4.9655747291765806e-08,4.0758528,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/balanced/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/balanced/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,balanced,8,sonic_custom,2,128,16,8,2048,768,32768,32768,custom_cute_fp8_bf16_out,Custom CuTe FP8,ok,5.229808072916667,1.638493047391647,473.0386140377622,2.424752837404398e-07,5.572957184,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/balanced/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/balanced/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,1,sonic_custom,4,128,128,8,2048,768,4096,4096,sonic_bf16,Sonic BF16,ok,1.3667078125,1.0,226.26463570610488,3.9208692959036284e-09,1.844028928,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,1,sonic_custom,4,128,128,8,2048,768,4096,4096,custom_cute_fp8_bf16_out,Custom CuTe FP8,ok,1.3335496419270834,1.0248645941106478,231.89061403453078,2.253006059493856e-07,2.004068864,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,1,sonic_custom,4,128,128,8,2048,768,8192,8192,sonic_bf16,Sonic BF16,ok,2.3174341796875,1.0,266.87933406911253,1.5203414305275942e-08,2.414102016,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,1,sonic_custom,4,128,128,8,2048,768,8192,8192,custom_cute_fp8_bf16_out,Custom CuTe FP8,ok,2.033836979166667,1.1394394946231299,304.092853537067,2.3337457133454365e-07,2.664973824,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,1,sonic_custom,4,128,128,8,2048,768,16384,16384,sonic_bf16,Sonic BF16,ok,4.430348307291666,1.0,279.19939820807565,4.613471771275357e-08,3.549316608,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,1,sonic_custom,4,128,128,8,2048,768,16384,16384,custom_cute_fp8_bf16_out,Custom CuTe FP8,ok,3.518084635416667,1.2593069145327582,351.59773269681466,2.4434180201371447e-07,4.012235264,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,1,sonic_custom,4,128,128,8,2048,768,32768,32768,sonic_bf16,Sonic BF16,ok,9.992667708333334,1.0,247.57164299908646,6.836112775854275e-08,5.82760192,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,1,sonic_custom,4,128,128,8,2048,768,32768,32768,custom_cute_fp8_bf16_out,Custom CuTe FP8,ok,6.530552213541666,1.5301413083586823,378.8195977311308,2.4984213320422555e-07,6.6848384,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,balanced,16,deepgemm,2,128,8,8,2048,768,4096,4096,deepgemm_fp8,DeepGEMM FP8,ok,0.7886552897135416,,392.10748896938543,1.2446062180870854e-08,1.161963008,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep16/balanced/deepgemm,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep16/balanced/deepgemm/results.json,,
qwen3_30b,Qwen3-30B-A3B,balanced,16,deepgemm,2,128,8,8,2048,768,8192,8192,deepgemm_fp8,DeepGEMM FP8,ok,1.4087845540364583,,439.0133955202311,1.4938389414353992e-08,2.049261056,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep16/balanced/deepgemm,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep16/balanced/deepgemm/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,16,deepgemm,2,128,8,8,2048,768,4096,4096,deepgemm_fp8,DeepGEMM FP8,ok,0.8320073649088542,,371.67657205279284,4.9792574507989684e-09,1.17316352,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep16/skewed/deepgemm,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep16/skewed/deepgemm/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,16,deepgemm,2,128,8,8,2048,768,8192,8192,deepgemm_fp8,DeepGEMM FP8,ok,1.4742569498697917,,419.5166186454977,8.708726850770176e-09,2.059511296,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep16/skewed/deepgemm,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep16/skewed/deepgemm/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,8,sonic_custom,5,128,16,8,2048,768,4096,4096,sonic_bf16,Sonic BF16,ok,0.9663607096354166,1.0,320.0022954458356,1.148586969978993e-08,0.835234816,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,8,sonic_custom,5,128,16,8,2048,768,4096,4096,custom_cute_fp8_bf16_out,Custom CuTe FP8,ok,0.8313334635416667,1.1624224838953356,371.9778631243573,2.5216970966912555e-07,0.895816704,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,8,sonic_custom,5,128,16,8,2048,768,8192,8192,sonic_bf16,Sonic BF16,ok,1.7947828776041668,1.0,344.59616165360063,2.979196622732161e-08,1.452162048,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,8,sonic_custom,5,128,16,8,2048,768,8192,8192,custom_cute_fp8_bf16_out,Custom CuTe FP8,ok,1.5210403645833335,1.1799705776354075,406.6133319173434,2.40826574127162e-07,1.563785216,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,8,sonic_custom,5,128,16,8,2048,768,16384,16384,sonic_bf16,Sonic BF16,ok,3.7311798177083335,1.0,331.5172791666007,6.954308462425729e-08,2.683165696,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,8,sonic_custom,5,128,16,8,2048,768,16384,16384,custom_cute_fp8_bf16_out,Custom CuTe FP8,ok,2.96534921875,1.2582598346649905,417.13487687275443,2.217278196603445e-07,2.90268672,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,8,sonic_custom,5,128,16,8,2048,768,32768,32768,sonic_bf16,Sonic BF16,ok,9.5915546875,1.0,257.9249395012116,1.4965517725062938e-07,5.151693824,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,skewed,8,sonic_custom,5,128,16,8,2048,768,32768,32768,custom_cute_fp8_bf16_out,Custom CuTe FP8,ok,5.885711197916667,1.6296339329213216,420.32323355785337,2.650850008389938e-07,5.58024192,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,balanced,16,sonic_custom,1,128,8,8,2048,768,4096,4096,sonic_bf16,Sonic BF16,ok,1.0076747721354167,1.0,306.8823928743182,7.4494762580812335e-09,0.65235456,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep16/balanced/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep16/balanced/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,balanced,16,sonic_custom,1,128,8,8,2048,768,4096,4096,custom_cute_fp8_bf16_out,Custom CuTe FP8,ok,0.7099000651041667,1.4194600362341934,435.6072925090156,2.5619659027587005e-07,0.811738112,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep16/balanced/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep16/balanced/sonic_custom/results.json,,
qwen3_30b,Qwen3-30B-A3B,balanced,16,sonic_custom,1,128,8,8,2048,768,8192,8192,sonic_bf16,Sonic BF16,ok,1.4533271158854166,1.0,425.55821319497204,3.974286055807852e-08,1.164194816,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep16/balanced/sonic_custom,artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep16/balanced/sonic_custom/results.json,,
